"","intercept_mod","scal_mod","p_mod","r_sq_con","aic_mod"
"R2c.245",0.214620765928488,-0.00126179781633819,-0.144562980322434,0.471530028409082,-378.218678257338
"R2c.246",0.198698617404904,0.0207966425673073,1.53707518459266,0.638957862038129,-383.023236690282
"R2c.247",0.221915435464565,-0.0154089749914334,-1.2891527613978,0.442858022959445,-391.432454655542
"R2c.248",0.208614734275258,0.00941003214123488,1.45526494840269,0.517025362344621,-369.306897848825
"R2c.249",0.209649314460568,-0.00325142749765188,-1.17918478953945,0.436269798016606,-380.757956265098
"R2c.250",0.217898642299903,-0.0103851619171558,-0.673639512183684,0.514845511785848,-379.821337703984
"R2c.251",0.209068058888739,0.00127704985184359,0.182110349740909,0.560311740499494,-398.679112181086
"R2c.252",0.212235978546237,-0.00315602616071469,-0.242484847403947,0.465725893514937,-366.649221132634
"R2c.253",0.208192827548989,0.0096443901562024,1.24925294431251,0.541587357738012,-378.750101930155
"R2c.254",0.209849233839533,0.00246222139009386,0.334343474849247,0.573335821742026,-389.687252314477
"R2c.255",0.207915047954703,0.00343659740136817,0.670796465113385,0.552871959377406,-394.741351572544
"R2c.256",0.221917541590763,-0.0132423450725585,-1.05001770268798,0.415776660696984,-383.381062863578
"R2c.257",0.211619464152078,-0.00314094962395686,-0.464868305661366,0.48658640186558,-398.062789865302
"R2c.258",0.211237759438661,0.0010252784222125,0.41426459819248,0.4836743158093,-377.024038264961
"R2c.259",0.214760363096847,0.00112709231659902,0.141503259458924,0.539918221730978,-412.74528463434
"R2c.260",0.214172946699759,-0.00138309847835467,-0.626414688293815,0.591099276754305,-402.917649937374
"R2c.261",0.217782392486488,0.000879793213385927,0.144364040893968,0.447021137654818,-361.069746219123
"R2c.262",0.226138119437823,-0.0148231483062756,-1.02155278987358,0.50314122904287,-378.162923069368
"R2c.263",0.213994731508469,-0.00631233347745457,-0.553565887780218,0.564162554441663,-383.958441143898
"R2c.264",0.212157352551549,-0.00298877042098898,-0.239592742177072,0.485640291246019,-381.975854906953
"R2c.265",0.209126640204948,0.00503522657769583,0.541263194338562,0.539927241565711,-379.544138365775
"R2c.266",0.210175884438125,0.00623857307364568,0.763107820619648,0.471056541102034,-376.625902569177
"R2c.267",0.213584869486208,-0.000400652640705246,-0.0660956651547027,0.55577603310028,-404.751361540844
"R2c.268",0.20794613243204,0.00621560248613129,0.578241598879737,0.397840964728948,-360.307289575781
"R2c.269",0.218436373492858,-0.00507618896655306,-0.4347944463494,0.424743322297685,-356.97142480779
"R2c.270",0.207850621254832,0.00511468730924361,0.573822861019013,0.53965046513223,-377.973631872244
"R2c.271",0.220544258669443,-0.00706725043318013,-1.10736958041428,0.393836307702053,-363.836115708319
"R2c.272",0.213048795996702,0.000732479275965987,0.061465609059165,0.554983101716065,-379.607005605799
"R2c.273",0.216003617462794,-0.00157874658507965,-0.147365330794034,0.476912522753403,-391.530442204358
"R2c.274",0.223599427088989,-0.00751554063222402,-1.3333227943354,0.387412304383032,-357.359892130654
"R2c.275",0.227614304256593,-0.0158783148428862,-1.08984943733405,0.42014312248323,-352.506064819724
"R2c.276",0.215691577332714,-0.00555063557214758,-1.49419958853455,0.580706655806008,-416.146706305475
"R2c.277",0.221927231497549,-0.0110602300111951,-1.28650410087805,0.507401094061055,-373.770001533769
"R2c.278",0.188714023958773,0.0349811986927276,2.56573039888971,0.733576356711827,-406.348177027369
"R2c.279",0.217648922903631,-0.00475371811527678,-1.27753584552359,0.546496748872428,-390.688027819819
"R2c.280",0.209686149795702,0.00795234298305447,0.517022082199911,0.512499633337957,-375.047689145496
"R2c.281",0.210288826412898,0.00261211697138738,0.254950989645049,0.497533647525014,-369.199852174348
"R2c.282",0.21656720210572,-0.00504480669561407,-0.873286263934968,0.526551072209624,-374.977565871083
"R2c.283",0.205568868103668,0.0064071632053401,1.05652610287336,0.526567569870199,-381.980785531421
"R2c.284",0.21237168110082,0.000417176284249815,0.166011739042912,0.548736888988173,-386.045677096777
"R2c.285",0.219824249147721,-0.0134584702817853,-1.1045572997803,0.576026043392278,-412.31961070164
"R2c.286",0.223506739308954,-0.0126700802073053,-1.89857754783432,0.58203059676881,-407.718817303559
"R2c.287",0.212049686444622,-0.0028791447855947,-0.586354430714294,0.53246475568496,-388.083705804635
"R2c.288",0.214792656375397,0.000525706680188142,0.0464479708490192,0.451428778528732,-360.2744859295
"R2c.289",0.207508519986094,0.00665692854449312,0.684944774633965,0.495515226156649,-372.311976186132
"R2c.290",0.213053100709851,0.00185097723190227,0.559578211655194,0.513936192526518,-374.909919848926
"R2c.291",0.214537883103027,-0.00925646039360138,-0.799663100062272,0.534802442709019,-395.498116976092
"R2c.292",0.20837316110942,0.00504544600912979,0.907276202973114,0.560686824922862,-398.688886882291
"R2c.293",0.201758513508807,0.0120805305179763,0.919504530776374,0.637055348197773,-409.220530102822
"R2c.294",0.21566497789228,-0.000695283999634975,-0.296147471308722,0.50323701709675,-369.50979986646
"R2c.295",0.208134376590545,0.00473368994039334,0.782713751418339,0.475418462034604,-370.1342795443
"R2c.296",0.213710742457452,-0.00202059040156239,-0.189719857072262,0.498366832967483,-378.923665679768
"R2c.297",0.220809215718633,-0.0115524616403916,-1.12587564509109,0.522245442267009,-406.769368636008
"R2c.298",0.215289750275444,-0.00436097820070095,-1.28621650223554,0.534304833035277,-377.7615162811
"R2c.299",0.213272762524613,0.00146375076358993,0.161916683360227,0.43563613331228,-356.059831456555
"R2c.300",0.211970047016364,0.00169716373205277,0.16692349037897,0.551094305666931,-400.382513023998
"R2c.301",0.216750514803503,-0.00445255721054609,-1.04715880861306,0.489393962535009,-385.795785750624
"R2c.302",0.210712267990331,-0.00112249805257184,-0.213109270608342,0.505838825337789,-381.500999433525
"R2c.303",0.209344790232076,-0.000150192096236749,-0.0147521389206016,0.59623791959015,-406.14829960206
"R2c.304",0.207005387223614,0.0116014628092336,0.916763664572653,0.581041682753376,-383.964719517816
"R2c.305",0.215619479296931,-0.00808556112366055,-1.26973306477686,0.492390293919655,-395.412838311792
"R2c.306",0.219686078789708,-0.0148037661575635,-1.80927108921618,0.505396371651298,-396.242475598743
"R2c.307",0.216448421855355,-0.00441928509953324,-0.96456973301326,0.597305935852377,-407.925765241001
"R2c.308",0.212238567403258,0.000319140081062179,0.111275071646318,0.544984612533643,-396.902908454041
"R2c.309",0.21715744418962,-0.00162555916893899,-0.32248500942367,0.503952235911381,-376.502038515042
"R2c.310",0.208361327854646,0.00651608040308048,1.51429947620091,0.574449924842986,-383.382054024361
"R2c.311",0.216171324380139,-0.00283646078191424,-0.373726557004176,0.410197766046543,-371.836397286002
"R2c.312",0.214884911622018,-0.00381701401943775,-0.552892474169545,0.552905656264412,-401.102244893594
"R2c.313",0.215713008754839,-0.00361844105462192,-1.04937943471357,0.550721612832635,-391.964646590702
"R2c.314",0.211443087290286,0.00425944378401292,0.886496736223322,0.495020604701185,-365.860051149947
"R2c.315",0.216557100523965,-0.000512203000586257,-0.128042113527522,0.498633216985772,-387.170552384259
"R2c.316",0.214112389025231,-0.00291889223263549,-0.636135226825797,0.486929137950844,-384.183475878871
"R2c.317",0.21061868998257,-0.0021565974420219,-0.21806027187985,0.571541169238833,-391.009605057989
"R2c.318",0.209548008085084,-0.000405859181483742,-0.0271564252899524,0.545385631263763,-376.505148530456
"R2c.319",0.209725654119549,0.00306889291360582,0.784614010312933,0.421089871132906,-375.222619767212
"R2c.320",0.218222925633017,-0.00694321872230362,-1.4177956387749,0.59683779620177,-401.599575849897
"R2c.321",0.213538688612863,-0.00247057691520635,-0.812361828049484,0.554655141339766,-390.244180970162
"R2c.322",0.212162433619728,-0.0021395379040002,-0.231752231558153,0.526445174300922,-396.990272882701
"R2c.323",0.237242260459316,-0.0285864031580964,-1.93581043523321,0.459490587062097,-380.078940235321
"R2c.324",0.211635231122093,0.00333965098497322,1.63172993576152,0.489842024551138,-377.794455326692
"R2c.325",0.218212139935825,-0.0105204269901144,-1.00514297095289,0.61023505021717,-399.020398643152
"R2c.326",0.20836931115085,0.0038895269352653,1.38919375954713,0.527443011936601,-386.893874059195
"R2c.327",0.218242695770836,-0.0135577546183288,-1.22915105657646,0.489781596660282,-384.4105054142
"R2c.328",0.207064757041532,0.00274961893451535,0.261683488373332,0.439217362916922,-367.969735790719
"R2c.329",0.220637430274082,-0.00981762686205878,-0.783750115491739,0.432096551388827,-394.162463139264
"R2c.330",0.213596434977662,-0.000718353898203776,-0.0668069260821901,0.569309484537835,-391.016673441572
"R2c.331",0.211256047176404,0.00140615101508292,0.253997708654191,0.547586558420323,-385.218220600713
"R2c.332",0.220344849991858,-0.0141951267094172,-1.56504059802072,0.52129270698535,-399.027487471618
"R2c.333",0.214339179646096,0.00300142967720053,0.765314137362164,0.49027449714828,-369.3341251107
"R2c.334",0.20896716823495,0.00597202854429988,1.44317945636443,0.555784007510489,-379.972368871815
"R2c.335",0.217648608122737,-0.012201602782405,-1.41173869805628,0.55258600548725,-402.716020113619
"R2c.336",0.223860648064759,-0.0078702870427743,-0.492046961793131,0.529228274797603,-368.891780954164
"R2c.337",0.221326532415183,-0.00880704175324436,-1.88499229401241,0.526890441976044,-372.393674275567
"R2c.338",0.210335386210897,0.00167397794766331,0.430516396880369,0.558523501628649,-398.208732280311
"R2c.339",0.220005619962065,-0.0102868576598221,-1.8104681187834,0.497062368172791,-377.600170860747
"R2c.340",0.210555580127369,0.00243189932857435,0.681753947421036,0.548933716573843,-392.567040271942
"R2c.341",0.214384291534846,-0.00700154815009031,-0.994532103124104,0.58913536330631,-395.776360512358
"R2c.342",0.218624900944942,-0.00276124626459266,-0.368279505488132,0.431654071852449,-379.535728790638
"R2c.343",0.197770742437911,0.0201284398534304,1.44389168754355,0.668821108858144,-390.74455641332
"R2c.344",0.196284327899922,0.0189271046824759,1.8066148030364,0.642907533118937,-398.333839588741
"R2c.345",0.214100841921574,-0.00107128340736363,-0.107505795325596,0.4784773489674,-398.481148520817
