"","chi","df","p_value"
"Kruskal-Wallis chi-squared.223",53.2288807781281,5,3.01838516333032e-10
"Kruskal-Wallis chi-squared.224",53.3331883705786,5,2.87311454600177e-10
"Kruskal-Wallis chi-squared.225",47.3846591955093,5,4.74266599702185e-09
"Kruskal-Wallis chi-squared.226",42.7272518932998,5,4.19655830998977e-08
"Kruskal-Wallis chi-squared.227",53.8979413816066,5,2.19952729644997e-10
"Kruskal-Wallis chi-squared.228",39.0633818611408,5,2.30608677315108e-07
"Kruskal-Wallis chi-squared.229",50.7719150442515,5,9.63103358269894e-10
"Kruskal-Wallis chi-squared.230",45.9030245458342,5,9.50447603638639e-09
"Kruskal-Wallis chi-squared.231",52.7847648668352,5,3.72354801449972e-10
"Kruskal-Wallis chi-squared.232",45.7655744491047,5,1.01368914999057e-08
"Kruskal-Wallis chi-squared.233",40.8397722885496,5,1.01087010449395e-07
"Kruskal-Wallis chi-squared.234",48.6412803535492,5,2.62728268765972e-09
"Kruskal-Wallis chi-squared.235",39.3095125232882,5,2.05739461979952e-07
"Kruskal-Wallis chi-squared.236",53.5501256589336,5,2.59294319413324e-10
"Kruskal-Wallis chi-squared.237",57.5352540898327,5,3.9222949168721e-11
"Kruskal-Wallis chi-squared.238",45.912584828985,5,9.46198115824559e-09
"Kruskal-Wallis chi-squared.239",38.2307201114256,5,3.39122238091435e-07
"Kruskal-Wallis chi-squared.240",41.4603622070106,5,7.57347856788233e-08
"Kruskal-Wallis chi-squared.241",46.582694466273,5,6.9105083024858e-09
"Kruskal-Wallis chi-squared.242",42.4048204323846,5,4.87752904245283e-08
"Kruskal-Wallis chi-squared.243",44.0118693778279,5,2.30340899156072e-08
"Kruskal-Wallis chi-squared.244",45.6511193060302,5,1.06953971232311e-08
"Kruskal-Wallis chi-squared.245",56.1307764449199,5,7.63792521130821e-11
"Kruskal-Wallis chi-squared.246",48.1935667780713,5,3.24299372808796e-09
"Kruskal-Wallis chi-squared.247",56.02443600757,5,8.03294578364731e-11
"Kruskal-Wallis chi-squared.248",56.7253502828246,5,5.76090549460379e-11
