"","Comp","Z","p_value"
"1.13","Electrona antarctica - Electrona carlsbergi","2.86015856780843","0.063514384644135"
"2.13","Electrona antarctica - Gymnoscopelus braueri","0.0338322674080303","1"
"3.13","Electrona carlsbergi - Gymnoscopelus braueri","-2.8616786164799","0.0632105967993557"
"4.13","Electrona antarctica - Gymnoscopelus nicholsi","5.0543190267264","6.47893644928649e-06"
"5.13","Electrona carlsbergi - Gymnoscopelus nicholsi","2.41047837504467","0.238974236304244"
"6.13","Gymnoscopelus braueri - Gymnoscopelus nicholsi","5.07427084424428","5.83477021627399e-06"
"7.13","Electrona antarctica - Krefftichthys anderssoni","0.113561021609902","1"
"8.13","Electrona carlsbergi - Krefftichthys anderssoni","-2.78425132276832","0.0804771666155485"
"9.13","Gymnoscopelus braueri - Krefftichthys anderssoni","0.0807710043753841","1"
"10.13","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.00432110256601","8.40888680157466e-06"
"11.13","Electrona antarctica - Protomyctophum bolini","3.1332875870058","0.0259289975192858"
"12.13","Electrona carlsbergi - Protomyctophum bolini","0.148307426557846","1"
"13.13","Gymnoscopelus braueri - Protomyctophum bolini","3.13997279509307","0.0253445286927856"
"14.13","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.35497463650165","0.277859550300384"
"15.13","Krefftichthys anderssoni - Protomyctophum bolini","3.05920179071768","0.0332891415650139"
"1.14","Electrona antarctica - Electrona carlsbergi","2.47347460408609","0.200709470723346"
"2.14","Electrona antarctica - Gymnoscopelus braueri","0.533972840641485","1"
"3.14","Electrona carlsbergi - Gymnoscopelus braueri","-1.9846437196954","0.707761868034465"
"4.14","Electrona antarctica - Gymnoscopelus nicholsi","4.9707702863342","1.00031135165001e-05"
"5.14","Electrona carlsbergi - Gymnoscopelus nicholsi","2.67116038288487","0.113384280663949"
"6.14","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.55110506794224","8.00473340745339e-05"
"7.14","Electrona antarctica - Krefftichthys anderssoni","-0.661958472386593","1"
"8.14","Electrona carlsbergi - Krefftichthys anderssoni","-3.14605312536913","0.0248234914167439"
"9.14","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.21156506563077","1"
"10.14","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.60035119311624","3.20876959751466e-07"
"11.14","Electrona antarctica - Protomyctophum bolini","2.93081851383526","0.0507105334882798"
"12.14","Electrona carlsbergi - Protomyctophum bolini","0.34301429750903","1"
"13.14","Gymnoscopelus braueri - Protomyctophum bolini","2.42817831903499","0.227623202228726"
"14.14","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.44824095873934","0.215333422268203"
"15.14","Krefftichthys anderssoni - Protomyctophum bolini","3.63974338466576","0.00409364819520195"
"1.15","Electrona antarctica - Electrona carlsbergi","3.26194274757199","0.0165977233439666"
"2.15","Electrona antarctica - Gymnoscopelus braueri","1.31840936635793","1"
"3.15","Electrona carlsbergi - Gymnoscopelus braueri","-2.02079543403868","0.649514185290439"
"4.15","Electrona antarctica - Gymnoscopelus nicholsi","5.02165906457309","7.68405816632369e-06"
"5.15","Electrona carlsbergi - Gymnoscopelus nicholsi","2.02277615319316","0.646443470259288"
"6.15","Gymnoscopelus braueri - Gymnoscopelus nicholsi","3.91427096141302","0.00136016645418471"
"7.15","Electrona antarctica - Krefftichthys anderssoni","-0.879114421331167","1"
"8.15","Electrona carlsbergi - Krefftichthys anderssoni","-4.15488521696415","0.000488176319696259"
"9.15","Gymnoscopelus braueri - Krefftichthys anderssoni","-2.22625080809653","0.389960796678793"
"10.15","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.84226071642025","7.72456893417782e-08"
"11.15","Electrona antarctica - Protomyctophum bolini","3.47108572980847","0.00777537718540318"
"12.15","Electrona carlsbergi - Protomyctophum bolini","0.069741496174035","1"
"13.15","Gymnoscopelus braueri - Protomyctophum bolini","2.18081711813538","0.437954188819018"
"14.15","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.02562793609981","0.642043898013927"
"15.15","Krefftichthys anderssoni - Protomyctophum bolini","4.40706792623191","0.000157169004963281"
"1.16","Electrona antarctica - Electrona carlsbergi","4.013696640291","0.000896627410882026"
"2.16","Electrona antarctica - Gymnoscopelus braueri","1.316835772525","1"
"3.16","Electrona carlsbergi - Gymnoscopelus braueri","-2.78311268609609","0.0807601543021095"
"4.16","Electrona antarctica - Gymnoscopelus nicholsi","5.67979527866257","2.02284079861855e-07"
"5.16","Electrona carlsbergi - Gymnoscopelus nicholsi","2.00077592004741","0.681248153029153"
"6.16","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.58025079364152","6.96628039771307e-05"
"7.16","Electrona antarctica - Krefftichthys anderssoni","0.683988786047636","1"
"8.16","Electrona carlsbergi - Krefftichthys anderssoni","-3.39769182993177","0.0101935387201065"
"9.16","Gymnoscopelus braueri - Krefftichthys anderssoni","-0.641119847229614","1"
"10.16","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.13547686821276","4.22144243550782e-06"
"11.16","Electrona antarctica - Protomyctophum bolini","3.84822371843443","0.00178466066310297"
"12.16","Electrona carlsbergi - Protomyctophum bolini","-0.324796110753363","1"
"13.16","Gymnoscopelus braueri - Protomyctophum bolini","2.56447938891845","0.154996074366579"
"14.16","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.35934649535654","0.274607297921169"
"15.16","Krefftichthys anderssoni - Protomyctophum bolini","3.20559923614807","0.0202172344261006"
