"MyNumber","ID","sciname","Label","SL","Stage","Sex","Station","Muscle","Otolith","Lat_dec.x.x","Long_dec.x","Year.x","Weight.x","Min_Depth","Max_Depth","DIC","Suess","Depth_Mid","d13C","d18O","d13C_musc","d13C_musc_SD","d18O_SW","sd_d18O_SW","mean_M","sd_M","se_M","mean_Temp","sd_Temp","se_Temp"
"BAS_121","123","Gymnoscopelus nicholsi","GYN",129,"2","M","JR15004/96/2",1,"Y",-60.3073,-46.7017,2016,25.1,0,200,1.8,-0.08,100,-2.19,3.24,-25.97,0,-0.288763367,0.671030923,0.129504806701212,0.0101942333172249,0.000186120384810492,1.94379917477001,2.29327315941131,0.0296060291823482
"BAS_122","126","Gymnoscopelus nicholsi","GYN",151,"2","M","JR15004/96/2",1,"Y",-60.3073,-46.7017,2016,38.7,0,200,1.8,-0.08,100,-2.5,3.02,-28.2,0,-0.288763367,0.671030923,0.130057246138716,0.00962971811127686,0.000175813794398746,2.34926657907104,2.25830459244987,0.0291545869240736
"BAS_123","124","Gymnoscopelus nicholsi","GYN",128,"2","M","JR15004/96/2",1,"Y",-60.3073,-46.7017,2016,25.3,0,200,1.8,-0.08,100,-2.43,3.21,-25.59,0,-0.288763367,0.671030923,0.140076786251375,0.0105997117989201,0.000193523375177406,2.04933388375321,2.29026691966363,0.0295672187940899
"BAS_124","122","Gymnoscopelus nicholsi","GYN",125,"2","M","JR15004/96/2",1,"Y",-60.3073,-46.7017,2016,21,0,200,1.8,-0.08,100,-2.5,2.91,-26.18,0,-0.288763367,0.671030923,0.139388469158446,0.0104960695017753,0.000191631134375477,2.60329586342296,2.28359969355887,0.0294811452751929
"BAS_125","125","Gymnoscopelus nicholsi","GYN",154,"2","M","JR15004/96/2",1,"Y",-60.3073,-46.7017,2016,32.2,0,200,1.8,-0.08,100,-2.74,3.37,-24.51,0,-0.288763367,0.671030923,0.156916499333724,0.0111096658612587,0.000202833819951882,1.64707671484143,2.29675405952572,0.0296509674095913
"BAS_126","120","Gymnoscopelus nicholsi","GYN",150,"2","M","JR15004/96/2",1,"Y",-60.3073,-46.7017,2016,32.2,0,200,1.8,-0.08,100,-2.4,3.18,-26.28,0,-0.288763367,0.671030923,0.135398587114544,0.0104303353574352,0.000190430998587031,2.05482875423574,2.30914530604508,0.0298109377142854
"BAS_127","121","Gymnoscopelus nicholsi","GYN",151,"2","M","JR15004/96/2",1,"Y",-60.3073,-46.7017,2016,37.7,0,200,1.8,-0.08,100,-2.25,3.14,-27.85,0,-0.288763367,0.671030923,0.123389593322414,0.00965218276377624,0.00017622394096276,2.15332506618713,2.2792080711014,0.0294244496730575
"BAS_128","#3","Gymnoscopelus nicholsi","GYN",142,"1","F","JR177/161/2",1,"Y",-59.69,-44.09,2008,35.5,203.3,403.6,1.8,-0.08,303.45,-2.36,3.06,-26.28,0.12,-0.151879995,0.676615664,0.137384542860803,0.00927857129884068,0.000169402760059835,2.53323443008445,2.30079316487493,0.0297031120354282
"BAS_220","#2","Gymnoscopelus nicholsi","GYN",129,NA,"F","JR177/161/2",1,"Y",-59.69,-44.09,2008,20.8,203.3,403.6,1.8,-0.08,303.45,-3.17,3.13,-26.28,0.12,-0.151879995,0.676615664,0.165595395466503,0.00962128920696642,0.00017565990436455,2.44699205935987,2.31613706344898,0.0299012009142389
"BAS_129","#75","Gymnoscopelus nicholsi","GYN",139,"2","F","JR177/165/2",1,"Y",-59.68,-44.14,2008,28.4,11.4,209,1.8,-0.08,110.2,-2.59,3.42,-27.27,0,-0.2287268,0.673474519,0.140364470983757,0.00889938786125036,0.000162479849319816,1.72432369201351,2.30481071455252,0.0297549783787411
